date,brand,sentiment_index,customer_complaints,discounts,expansion,funding,logistics,other,partnership,regulation,technology
2026-05-01,ajio,0.0,0,0,0,0,1,0,0,0,0
2026-05-02,ajio,0.0,0,0,0,0,0,1,0,0,0
2026-05-06,ajio,1.0,0,1,0,0,0,0,0,0,0
2026-05-12,tata cliq,0.0,0,1,0,0,0,0,0,0,0
2026-05-13,tata cliq,0.0,0,0,0,1,0,0,0,0,0
2026-05-14,ajio,0.0,0,0,0,0,0,0,0,0,1
2026-05-15,ajio,0.0,0,0,1,0,0,0,0,0,0
2026-05-15,shiprocket,0.3333333333333333,0,0,1,0,1,1,0,0,0
2026-05-18,snapdeal,0.5,0,0,0,1,0,0,1,0,0
2026-05-18,tata 1mg,0.0,0,0,0,0,0,1,0,0,0
2026-05-19,tata 1mg,0.0,0,0,0,0,1,0,0,0,0
2026-05-19,zara india,-1.0,1,0,0,0,0,0,0,0,0
2026-05-20,shiprocket,0.0,0,0,1,1,0,0,0,0,0
2026-05-20,snapdeal,1.0,0,0,0,1,0,0,0,0,0
2026-05-22,bigbasket,1.0,0,0,0,0,1,0,0,0,0
2026-05-22,delhivery,0.0,0,0,0,0,0,0,0,0,1
2026-05-22,zara india,-1.0,0,0,0,0,0,0,0,0,1
2026-05-23,blinkit,0.0,0,0,0,0,1,1,0,0,0
2026-05-23,delhivery,0.0,0,0,0,0,0,1,0,0,0
2026-05-24,bigbasket,0.0,0,0,0,0,0,1,0,0,0
2026-05-25,bigbasket,1.0,0,0,1,0,0,0,0,0,0
2026-05-25,delhivery,0.0,0,0,0,0,0,0,0,0,1
2026-05-25,flipkart,-0.5,0,1,0,0,0,0,0,1,0
2026-05-25,lenskart,0.5,0,0,0,1,0,0,0,0,1
2026-05-25,meesho,0.0,0,0,0,1,0,0,0,0,1
2026-05-25,myntra,0.0,0,0,0,0,0,0,0,0,1
2026-05-25,nykaa,1.0,1,0,0,0,0,0,0,0,0
2026-05-25,zara india,1.0,0,0,0,0,0,0,0,1,0
2026-05-26,firstcry,0.6666666666666666,0,0,0,0,0,2,0,0,1
2026-05-26,h&m india,0.0,0,0,0,0,0,2,0,0,1
2026-05-26,meesho,-0.5,0,0,0,0,0,1,0,0,1
2026-05-26,myntra,0.5,0,1,0,0,0,0,0,0,1
2026-05-26,nykaa,0.0,0,0,0,0,0,0,0,0,1
2026-05-26,pharmeasy,0.0,0,0,0,2,0,0,0,0,0
2026-05-26,tata 1mg,0.0,0,0,0,1,0,0,0,0,0
2026-05-26,zara india,1.0,0,0,0,0,0,0,0,1,0
2026-05-26,zepto,0.3333333333333333,0,0,0,0,1,1,0,0,1
2026-05-26,zomato,0.0,0,0,0,0,0,0,0,0,1
2026-05-27,amazon india,0.0,0,1,1,0,0,0,0,0,2
2026-05-27,bigbasket,0.0,0,0,0,0,0,0,0,0,1
2026-05-27,firstcry,-1.0,0,0,0,1,0,0,0,0,1
2026-05-27,flipkart,0.0,0,2,1,0,0,0,0,0,0
2026-05-27,h&m india,-0.5,1,1,0,0,0,0,0,0,0
2026-05-27,lenskart,1.0,0,0,0,1,0,0,0,0,0
2026-05-27,myntra,0.0,0,0,0,0,0,0,0,0,1
2026-05-27,reliance digital,0.0,0,0,0,0,0,2,0,0,3
2026-05-27,tata cliq,1.0,0,1,0,0,0,0,0,0,0
2026-05-27,urban company,-0.2,0,0,0,0,0,3,0,0,0
2026-05-27,zomato,-0.5,0,0,0,1,0,1,0,0,0
