date,sentiment_index,customer_complaints,discounts,expansion,funding,logistics,other,partnership,regulation,technology
2026-05-01,0.0,0,0,0,0,1,0,0,0,0
2026-05-02,0.0,0,0,0,0,0,1,0,0,0
2026-05-06,1.0,0,1,0,0,0,0,0,0,0
2026-05-12,0.0,0,1,0,0,0,0,0,0,0
2026-05-13,0.0,0,0,0,1,0,0,0,0,0
2026-05-14,0.0,0,0,0,0,0,0,0,0,1
2026-05-15,0.25,0,0,2,0,1,1,0,0,0
2026-05-18,0.3333333333333333,0,0,0,1,0,1,1,0,0
2026-05-19,-0.5,1,0,0,0,1,0,0,0,0
2026-05-20,0.3333333333333333,0,0,1,2,0,0,0,0,0
2026-05-22,0.0,0,0,0,0,1,0,0,0,2
2026-05-23,0.0,0,0,0,0,1,2,0,0,0
2026-05-24,0.0,0,0,0,0,0,1,0,0,0
2026-05-25,0.2727272727272727,1,1,1,2,0,0,0,2,4
2026-05-26,0.21052631578947367,0,1,0,3,1,6,0,1,7
2026-05-27,-0.1111111111111111,1,5,2,3,0,6,0,0,8
