brand,source,title,description,content,published_at,fetched_at
Flipkart,The Times of India,"Nothing Phone (4a) review: clean software, bold design, strong value","The Nothing Phone (4a) continues the brand's focus on distinctive design and a clean Android experience, effectively becoming a key device for 2026. Learning from past flagship struggles, Nothing prioritizes design and value with the 4a series, featuring a ne…","Nothing Phone (4a) continues Nothings strategy of building phones that stand out visually while offering a relatively clean Android experience. With no flagship launch from the company this year, the… [+11985 chars]",2026-03-11T12:30:32Z,2026-03-12 21:01:20.476955
Flipkart,The Times of India,Walmart-backed Flipkart to invite banks for IPO pitch in April,"Flipkart IPO: Flipkart is moving towards a public listing. Banks will be invited to pitch for work on its potential initial public offering as soon as next month. The e-commerce giant, backed by Walmart, is gauging investor appetite for a listing in Mumbai. A…","Online retailer Flipkart Internet Pvt is set to start the formal process for banks to pitch for work on its potential initial public offering as soon as next month, according to people familiar with … [+1780 chars]",2026-03-11T07:36:07Z,2026-03-12 21:01:20.476955
Flipkart,The Times of India,Walmart-backed Flipkart to invite banks for IPO pitch in April,"Flipkart IPO: Flipkart is moving towards a public listing. Banks will be invited to pitch for work on its potential initial public offering as soon as next month. The e-commerce giant, backed by Walmart, is gauging investor appetite for a listing in Mumbai. A…","Online retailer Flipkart Internet Pvt is set to start the formal process for banks to pitch for work on its potential initial public offering as soon as next month, according to people familiar with … [+1775 chars]",2026-03-11T07:36:07Z,2026-03-12 21:01:20.476955
Flipkart,BusinessLine,Skye Air Mobility raises $9 million in Series B to expand drone delivery network,"With the new investment, the company intends to expand its drone delivery operations beyond Delhi-NCR into major cities including Bengaluru, Mumbai, Pune, Hyderabad and Kolkata as demand for drone logistics continues to grow rapidly in India.","Drone logistics solution provider Skye Air Mobility on Wednesday announced raising a total of USD 9 million in a Series B funding round to fuel hyperlocal drone delivery expansion.
The round structu… [+1402 chars]",2026-03-11T06:50:15Z,2026-03-12 21:01:20.476955
Flipkart,The Times of India,The dark side of India’s digital gold rush,"India's booming digital commerce is marred by ""dark patterns,"" design tactics that trick consumers into overpaying or buying unwanted items. From airlines to quick-commerce startups and banks, companies exploit weak regulations and a newly connected populatio…","Digital commerce in India has become a theater of quiet deception. Sellers cheat by design, and in the rush of a 10-minute grocery delivery, hundreds of millions of consumers rarely notice they are b… [+5074 chars]",2026-03-11T03:25:39Z,2026-03-12 21:01:20.476955
Flipkart,BusinessLine,Induction stoves fly off shelves amid LPG supply concerns,Induction stove sales soar in India as LPG supply fears drive consumers to seek alternative cooking solutions amid global tensions.,"With the war in West Asia posing a threat to the supply of liquified petroleum gas (LPG) for household consumption, Indians have begun to purchase induction cooktops as an alternative. 
Speaking to … [+1991 chars]",2026-03-10T16:01:52Z,2026-03-12 21:01:20.476955
Flipkart,Yahoo Entertainment,Flipkart completes re-domiciliation to India ahead of IPO,,"If you click 'Accept all', we and our partners, including 245 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",2026-03-10T14:58:19Z,2026-03-12 21:01:20.476955
Flipkart,BusinessLine,VFS Global wins Award of Excellence and 4.0-star Innovation Rating at the 16th Aegis Graham Bell Awards,Recognised for GenAI-powered Intelligent Document Processing (IDP) and responsible AI deployment at scale,"MUMBAI, India, March 10, 2026 /PRNewswire/ -- VFS Global has been honoured with two recognitions at the 16th Aegis Graham Bell Awards 2026, underscoring the companys progress in deploying responsible… [+4752 chars]",2026-03-10T14:45:10Z,2026-03-12 21:01:20.476955
Flipkart,The Times of India,Qcomm sees brisk sale of induction stoves as people panic over LPG shortage,"Eternal-owned Blinkit is offering discounts of up to 72% on cooktops; most products are already out of stock and only limited options are still available. Similarly, Instamart is offering discounts of up to 60% on hobs, and some products are already sold out.…","Quick commerce platforms saw a spike in the sale of induction cooktops on Tuesday as panic buying set in over fears that gas supplies might run out, industry executives told ET.Eternal-owned Blinkit … [+1441 chars]",2026-03-10T13:56:52Z,2026-03-12 21:01:20.476955
Flipkart,Livemint,Ghosted by the bot: Why IndiaMART is desperate to be visible on ChatGPT,"Users are increasingly asking chatbots what to buy, where to buy it and at what price. IndiaMART has dragged OpenAI to court, arguing that its exclusion from such results on ChatGPT has had a catastrophic impact on its business.","His 26-year-old son had recently urged him to try ChatGPT, the popular generative artificial intelligence (AI) chatbot.
Just type it like a Google search, he told his aging father. You wont have to … [+13655 chars]",2026-03-10T12:16:38Z,2026-03-12 21:01:20.476955
Amazon India,TechRadar,Bayer Leverkusen vs Arsenal FREE Streams: How to watch Champions League 2025/26 Round of 16 1st leg from anywhere,"All the ways to watch Bayer Leverkusen vs Arsenal live streams from anywhere for free, as the Gunners visit the BayArena in the Champions League Round of 16.",Bayer Leverkusen vs Arsenal free streams in the Champions League Round of 16 1st leg feature the latest opportunity for the Gunners to continue their hunt for glory on four fronts. Mikel Arteta's sid… [+10234 chars],2026-03-11T14:45:00Z,2026-03-12 21:01:20.861206
Amazon India,GlobeNewswire,"COMSOL Conference 2026 Schedule Announced, with Stops in the UK, U.S., Japan, and India","COMSOL today announced the locations of its worldwide COMSOL Conference 2026 tour, including Cambridge, the UK; Boston, MA; Tokyo; and Bengaluru, India....","BURLINGTON, Mass., March 11, 2026 (GLOBE NEWSWIRE) -- COMSOL, an independently-owned global leader in modeling and simulation software, today announced the locations of its worldwide COMSOL Conferenc… [+6088 chars]",2026-03-11T14:41:00Z,2026-03-12 21:01:20.861206
Amazon India,The Times of India,"Danny Rensch on Purpose, Pain, and the Power of Chess","World News: Q: Thank you for writing this gripping and, I'm sure at times, very painful memoir. A: It definitely was an ordeal at times... Anyone who reads it wil.","Follow Us On Social Media
Why is Iran national football team boycotting the FIFA World Cup 2026 despite the welcome from US president and Gianni InfantinoVivo Y51 Pro 5G with 7200mAh battery launche… [+1618 chars]",2026-03-11T14:30:08Z,2026-03-12 21:01:20.861206
Amazon India,The Times of India,"24,000 anti-Indian posts viewed 300 million times: Is America witnessing a surge in online hostility toward Indians?","Trending News: Indian Americans make up about 5.2 million people, roughly 1.6% of the United States population, and their influence in business and technology is wid.","<ul><li>News</li>
<li>lifestyle</li>
<li>trending</li>
<li>24,000 anti-Indian posts viewed 300 million times: Is America witnessing a surge in online hostility toward Indians?</li></ul>
Follow Us… [+1808 chars]",2026-03-11T14:22:50Z,2026-03-12 21:01:20.861206
